"Status","Name","Duration in ms","Description"
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyPersonalInfo","6323",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyAddress","8162",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyAddress","7784",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyPersonalInfo","5526",""
"passed","com.automationpractice.Tests.Negative.NegativeCreationTest.creationWithInvalidData","12571",""
"passed","com.automationpractice.Tests.Positive.AccountTest.creationAnAccount","10048",""
"passed","com.automationpractice.Tests.Positive.AccountTest.creationAnAccount","11697",""
"passed","com.automationpractice.Tests.Positive.OrderTest.searchProductAndOrdering","21912",""
"passed","com.automationpractice.Tests.Positive.OrderTest.verifyingDownloadedFile","4",""
"passed","com.automationpractice.Tests.Positive.OrderTest.searchProductAndOrdering","21096",""
"passed","com.automationpractice.Tests.Positive.OrderTest.searchProductAndOrdering","21129",""
"passed","com.automationpractice.Tests.Positive.AccountTest.creationAnAccount","23913",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyPersonalInfo","5797",""
"passed","com.automationpractice.Tests.Positive.PageElementsTest.verifyingElementsIsEnabled","13274",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyPersonalInfo","5502",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyAddress","7697",""
"passed","com.automationpractice.Tests.Positive.AccountTest.verifyAddress","7181",""
"passed","com.automationpractice.Tests.Positive.OrderTest.searchProductAndOrdering","24295",""
"passed","com.automationpractice.Tests.Positive.AccountTest.creationAnAccount","10580",""
"passed","com.automationpractice.Tests.Negative.NegativeCreationTest.creationWithEmptyData","14552",""
